DateTime,Tariff,kWhs_used,numbSmMtrs
1/1/2013 0:00,Normal,0.251,5500
1/1/2013 0:30,Normal,0.232,5500
1/1/2013 1:00,Normal,0.212,5500
1/1/2013 1:30,Normal,0.194,5500
1/1/2013 2:00,Normal,0.178,5500
1/1/2013 2:30,Normal,0.163,5500
1/1/2013 3:00,Normal,0.15,5500
1/1/2013 3:30,Normal,0.142,5500
1/1/2013 4:00,Normal,0.134,5500
1/1/2013 4:30,Normal,0.13,5500
1/1/2013 5:00,Normal,0.128,5500
1/1/2013 5:30,Normal,0.128,5500
1/1/2013 6:00,Normal,0.13,5500
1/1/2013 6:30,Normal,0.139,5500
1/1/2013 7:00,Normal,0.139,5500
1/1/2013 7:30,Normal,0.149,5500
1/1/2013 8:00,Normal,0.161,5500
1/1/2013 8:30,Normal,0.175,5500
1/1/2013 9:00,Normal,0.19,5500
1/1/2013 9:30,Normal,0.205,5500
1/1/2013 10:00,Normal,0.217,5500
1/1/2013 10:30,Normal,0.228,5500
1/1/2013 11:00,Normal,0.241,5500
1/1/2013 11:30,Normal,0.251,5500
1/1/2013 12:00,Normal,0.254,5500
1/1/2013 12:30,Normal,0.258,5500
1/1/2013 13:00,Normal,0.265,5500
1/1/2013 13:30,Normal,0.267,5500
1/1/2013 14:00,Normal,0.265,5500
1/1/2013 14:30,Normal,0.269,5500
1/1/2013 15:00,Normal,0.272,5500
1/1/2013 15:30,Normal,0.281,5500
1/1/2013 16:00,Normal,0.293,5500
1/1/2013 16:30,Normal,0.328,5500
1/1/2013 17:00,Normal,0.352,5500
1/1/2013 17:30,Normal,0.38,5500
1/1/2013 18:00,Normal,0.388,5500
1/1/2013 18:30,Normal,0.394,5500
1/1/2013 19:00,Normal,0.386,5500
1/1/2013 19:30,Normal,0.386,5500
1/1/2013 20:00,Normal,0.372,5500
1/1/2013 20:30,Normal,0.356,5500
1/1/2013 21:00,Normal,0.344,5500
1/1/2013 21:30,Normal,0.335,5500
1/1/2013 22:00,Normal,0.323,5500
1/1/2013 22:30,Normal,0.304,5500
1/1/2013 23:00,Normal,0.273,5500
1/1/2013 23:30,Normal,0.239,5500
