half_hour,mean_energy_consumption
0:00,0.185
0:30,0.164
1:00,0.147
1:30,0.135
2:00,0.126
2:30,0.12
3:00,0.116
3:30,0.114
4:00,0.113
4:30,0.116
5:00,0.12
5:30,0.132
6:00,0.147
6:30,0.168
7:00,0.183
7:30,0.201
8:00,0.21
8:30,0.216
9:00,0.216
9:30,0.215
10:00,0.214
10:30,0.213
11:00,0.213
11:30,0.215
12:00,0.216
12:30,0.217
13:00,0.215
13:30,0.213
14:00,0.21
14:30,0.21
15:00,0.212
15:30,0.219
16:00,0.231
16:30,0.25
17:00,0.268
17:30,0.289
18:00,0.302
18:30,0.314
19:00,0.318
19:30,0.318
20:00,0.313
20:30,0.308
21:00,0.299
21:30,0.286
22:00,0.265
22:30,0.241
23:00,0.213
23:30,0.186
